BoardID     ChannelID     Gain      Offset
180     0     3.93063      51.2411
180     1     63.5101      -82560.2
180     2     3.95561      -18.6486
180     3     3.66908      51.9721
180     4     4.08825      -96.0977
180     5     3.75996      17.7439
180     6     4.03405      -1.81319
180     7     3.81262      6.80422
180     8     3.99037      -22.1657
180     9     3.75923      -7.37166
180     10     4.01179      -48.9233
180     11     3.79169      -31.4111
180     12     4.0407      -67.4436
180     13     3.7738      -21.8705
180     14     4.02208      -77.928
180     15     3.70775      99.01
181     0     3.9727      -54.9362
181     1     4.00378      -345.871
181     2     4.01755      -60.6284
181     3     3.75815      11.3392
181     4     4.01557      -51.0801
181     5     3.86077      -113.708
181     6     4.04153      -43.0066
181     7     7.69012      -5982.17
181     8     3.97253      50.3567
181     9     3.82359      -33.8138
181     10     3.9972      42.2862
181     11     3.87834      -119.838
181     12     4.03554      2.1881
181     13     3.81196      21.0427
181     14     4.14449      -130.6
181     15     3.81191      43.8637
169     0     3.89399      70.7584
169     1     3.67033      99.2646
169     2     7.63431      -4810.18
169     3     3.98425      -293.286
169     4     3.98037      1.26068
169     5     3.76588      -11.212
169     6     3.97431      14.3781
169     7     3.77497      -13.9866
169     8     4.04237      -113.656
169     9     3.74026      12.8716
169     10     3.86428      97.0082
169     11     3.69117      114.691
169     12     3.96547      107.777
169     13     3.78261      27.3328
169     14     4.01902      -60.3198
169     15     3.77707      8.20149
165     0     4.09855      -33.1154
165     1     3.78761      57.6604
165     2     3.96331      47.3048
165     3     3.85757      -105.754
165     4     4.07902      4.03334
165     5     3.8376      -48.5348
165     6     4.03665      -20.9097
165     7     3.84927      -66.2415
165     8     8.09854      -13.3722
165     9     3.84415      -74.1056
165     10     3.94388      105.223
165     11     3.90214      -214.678
165     12     4.08386      -131.506
165     13     3.84699      -81.7066
165     14     3.93435      105.005
165     15     3.77035      55.5689
174     0     3.98983      2.47615
174     1     3.73808      58.1741
174     2     3.93968      18.823
174     3     3.7411      50.8661
174     4     3.99913      -1.77476
174     5     3.75325      32.0329
174     6     3.97137      -10.9213
174     7     3.71053      17.5473
174     8     3.97159      45.2316
174     9     3.73241      65.6392
174     10     3.98983      15.9777
174     11     3.74438      65.7395
174     12     3.97208      33.1556
174     13     3.75167      44.3505
174     14     4.00539      17.8167
174     15     3.79269      20.9466
171     0     3.98982      -1.79381
171     2     3.93252      28.9916
171     3     3.79638      -60.6757
171     4     4.00076      23.9263
171     5     3.737      68.7885
171     6     3.91284      32.2288
171     7     3.74677      -13.684
171     8     3.9298      16.6104
171     9     3.72411      34.7836
171     10     3.93031      35.0875
171     11     3.73832      33.3136
171     12     4.01512      -30.5862
171     13     3.58465      4.4524
171     14     3.9909      8.86577
171     15     3.72957      65.0166
183     0     3.97192      36.8581
183     1     3.78649      -19.0822
183     2     3.97872      34.2503
183     3     3.77831      22.2086
183     4     3.93738      26.0126
183     5     3.78733      -19.2711
183     6     3.97395      20.8233
183     7     3.71243      70.4225
183     12     4.00392      -3.45549
183     13     3.75295      7.42931
183     14     3.94801      31.9887
183     15     3.71089      37.0046
173     0     3.97061      21.2387
173     1     3.75039      18.8915
173     2     3.99809      -35.0538
173     3     3.75999      7.68676
173     4     3.95062      -19.4535
173     5     3.73254      -1.25558
173     6     3.91894      -7.21496
173     7     3.67753      25.4893
173     8     3.93275      45.2174
173     9     3.71096      71.003
173     10     3.96449      36.5445
173     11     3.78042      -13.7053
173     12     3.9872      -14.4264
173     13     3.71082      14.9982
173     14     3.92968      40.493
173     15     3.78528      13.1045
172     0     3.99142      -8.68338
172     1     3.75875      -17.509
172     2     3.89744      48.2461
172     3     3.75428      3.62015
172     4     3.89422      27.1149
172     5     3.71111      7.50283
172     6     3.89401      -16.6941
172     7     3.67082      8.60797
172     8     3.94978      6.38803
172     9     3.71587      1.15695
172     10     3.94193      24.6782
172     11     3.72071      -2.89026
172     12     3.93829      13.5326
172     13     3.71263      15.675
172     14     3.89868      15.6752
172     15     3.64783      94.9572
177     0     3.8837      51.2619
177     1     3.69312      72.7738
177     2     3.89404      52.1806
177     3     3.70591      30.8349
177     4     3.89542      24.5651
177     5     3.74083      -18.7923
177     6     3.88139      45.2475
177     7     3.64206      79.4538
177     8     3.95673      5.44119
177     9     3.70898      24.3236
177     10     3.92759      42.4198
177     11     3.72375      47.6198
177     12     3.9065      32.0755
177     13     3.6737      96.242
177     14     3.87113      -11.7311
177     15     3.6851      -18.759
170     0     3.92791      23.8877
170     2     3.96163      3.05658
170     4     3.94554      30.3025
170     6     3.94723      44.876
170     7     3.72245      37.512
170     8     3.9454      15.3037
170     9     3.715      34.3458
170     10     3.9035      56.2691
170     11     3.73785      8.06652
170     12     3.93941      0.456571
170     13     3.76207      -9.97982
170     14     3.87317      55.3238
170     15     3.6801      21.0539
179     0     3.93064      18.3479
179     1     3.69122      56.9523
179     2     3.9432      47.8222
179     3     3.75891      7.67949
179     4     3.85583      61.6518
179     5     3.66462      37.0437
179     6     3.92714      -40.7267
179     7     3.72871      -22.7421
179     8     3.97562      42.6705
179     9     3.77377      22.0313
179     10     3.91509      27.4629
179     11     3.71091      38.3439
179     12     3.95075      20.1284
179     13     3.74854      41.9242
179     14     3.88773      66.0223
179     15     3.73252      -29.6929
178     0     3.8658      34.9228
178     1     3.66302      48.0004
178     2     3.89233      26.691
178     3     3.70934      21.6951
178     4     3.95811      -1.89286
178     5     3.71401      -3.49118
178     6     3.8332      33.4243
178     7     3.64305      56.6182
178     8     3.92973      34.9051
178     9     3.6687      45.1741
178     10     3.89735      3.39425
178     11     3.70241      18.4407
178     12     3.84337      24.4182
178     13     3.6336      27.0908
178     14     3.90422      39.3808
178     15     3.71586      8.74767
176     0     3.89232      38.7595
176     1     3.67549      60.5924
176     2     3.87319      34.6775
176     3     3.69543      18.3139
176     4     3.91976      -3.37683
176     5     3.63913      26.657
176     6     3.90928      22.88
176     7     3.72524      16.2392
176     8     3.95924      51.4274
176     9     3.73946      33.3539
176     10     3.91991      5.55839
176     11     3.71395      27.1827
176     12     3.97754      8.45018
176     13     3.71742      52.3718
176     14     3.91942      39.8863
176     15     3.74447      7.228
164     0     3.91955      31.4481
164     1     3.69788      46.6043
164     2     3.88125      17.8246
164     3     3.64435      41.0056
164     4     3.87642      61.4455
164     5     3.66215      63.1616
164     6     3.88679      23.0142
164     7     3.67545      47.4513
164     8     3.89844      25.8326
164     9     3.66615      34.8159
164     10     3.8859      29.1902
164     11     3.68846      25.7427
164     12     3.95769      0.761964
164     13     3.71316      57.5728
164     14     3.92653      41.1476
164     15     3.70433      33.6735
192     0     3.87913      27.9062
192     1     3.68029      6.92191
192     2     3.88753      47.3819
192     3     3.70813      6.31594
192     4     3.92394      24.3885
192     5     3.70733      32.3945
192     6     4.89611      5.65841
192     7     3.64248      62.2922
192     8     3.93011      35.0452
192     9     3.65232      71.188
192     10     3.90769      3.02433
192     11     3.69062      36.8392
192     12     3.89967      33.5327
192     13     3.71391      3.74421
192     14     3.92828      26.0025
192     15     3.688      40.2799
