BoardID     ChannelID     Gain      Offset
180     0     3.95449      12.1257
180     1     3.70186      19.4364
180     2     3.90389      27.7099
180     3     3.7026      30.1648
180     4     3.95496      29.8389
180     5     3.71143      9.52077
180     6     3.98866      7.97215
180     7     3.74941      26.0631
180     8     3.92012      29.7397
180     9     3.69573      29.359
180     10     3.89491      18.7687
180     11     3.68904      19.1975
180     12     3.97213      11.9423
180     13     3.72522      22.6917
180     14     3.90671      27.2358
180     15     3.73074      21.1733
181     0     3.91778      30.8188
181     1     3.72934      28.2218
181     2     3.94378      33.1753
181     3     3.72743      23.4423
181     5     3.75384      12.8871
181     6     3.96826      26.0917
181     7     3.74641      19.7016
181     8     3.95716      22.1485
181     9     3.74891      18.1131
181     10     3.9704      14.7203
181     11     3.72005      20.0918
181     12     3.93798      25.2799
181     13     3.72255      21.4576
181     14     3.94984      22.0291
181     15     3.76491      4.98788
169     0     3.93669      26.7963
169     1     3.74895      6.97049
169     2     3.95703      6.61786
169     3     3.74721      27.319
169     4     3.94264      5.92119
169     5     3.7099      24.5885
169     6     3.94573      33.2856
169     7     3.74441      14.1234
169     8     3.95806      24.5195
169     9     3.75061      20.0553
169     10     3.91718      12.9838
169     11     3.71691      43.6222
169     12     3.95316      4.47591
169     13     3.72139      21.7779
169     14     3.92493      27.4061
169     15     3.7294      15.6455
165     1     3.76976      11.6213
165     2     3.98848      19.2834
165     3     3.75464      15.004
165     4     4.23854      25.9087
165     5     3.74613      25.1557
165     6     3.96834      14.7899
165     7     3.75385      7.05074
165     8     3.98918      -1.37862
165     9     3.76908      7.89782
165     10     3.97298      17.6889
165     11     3.69056      19.0003
165     12     3.97158      21.0823
165     13     3.7563      18.1205
165     14     3.93701      28.3518
165     15     3.72751      16.437
174     0     3.96656      5.00898
174     1     3.76526      12.2906
174     2     3.97289      26.234
174     3     3.80478      23.2956
174     4     3.99122      6.44802
174     5     3.76678      -4.24012
174     6     3.99187      -3.73484
174     7     3.7294      17.6449
174     8     4.00625      -1.01473
174     9     3.7897      5.19026
174     10     4.00648      28.5938
174     11     3.80898      0.726017
174     12     4.06174      -18.2711
174     13     3.81485      -10.3243
174     14     3.97783      24.7003
174     15     3.78656      5.47096
171     0     4.06531      23.3255
171     2     3.9717      -6.60928
171     3     3.77251      0.0339261
171     4     3.98666      -3.59719
171     5     3.74877      -20.6293
171     6     3.91697      16.4676
171     7     3.71475      19.0585
171     13     3.54489      1.83002
171     14     3.93915      18.1003
171     15     3.74833      8.9996
183     4     3.97075      -11.8343
183     5     3.76953      7.01104
183     6     4.00647      16.1318
183     7     3.7861      4.48442
183     12     3.95211      24.7519
183     13     3.7263      17.6459
183     14     3.9579      5.93379
183     15     3.7236      24.3355
173     0     3.96062      14.2782
173     1     3.75834      -5.52118
173     2     3.99304      2.43405
173     3     3.76095      18.6316
173     4     3.94572      0.725344
173     5     3.69601      57.13
173     6     3.94647      20.7316
173     7     3.74138      -12.2227
173     8     3.98798      2.42577
173     9     3.78298      1.06693
173     10     4.01429      -7.49606
173     11     3.79303      4.26799
173     12     3.95005      3.88716
173     13     3.70805      -1.00413
173     14     3.96132      2.05753
173     15     3.73271      19.1924
172     0     3.99263      21.4758
172     1     3.73915      35.8266
172     2     3.93956      25.0139
172     3     3.76376      24.5394
172     4     3.92084      19.9624
172     5     3.72845      5.75835
172     6     3.89425      12.3976
172     7     3.67798      24.4437
172     8     3.9626      18.6616
172     10     3.95414      34.9622
172     11     3.71078      33.2382
172     12     3.96508      8.91133
172     13     3.71508      32.1256
172     14     3.91882      14.4812
172     15     3.69779      43.5039
177     0     3.91679      39.1266
177     1     3.72079      73.3765
177     2     3.93916      13.6507
177     3     3.72366      30.3865
177     4     3.89658      11.5808
177     5     3.70738      60.6958
177     6     3.91038      36.7653
177     7     3.68288      58.5592
177     8     3.9615      25.5517
177     9     3.7058      61.0127
177     10     3.95458      28.3773
177     11     3.74811      47.2954
177     12     3.92423      36.4622
177     13     3.7248      56.9259
177     15     3.67211      26.6038
170     0     3.95589      8.52843
170     2     3.95852      26.7501
170     7     3.74369      33.4864
170     8     3.94911      28.344
170     9     3.72903      33.8678
170     10     3.93008      42.5831
170     11     3.74074      36.757
170     12     3.92392      40.7125
170     13     3.7417      43.1261
170     14     3.9183      10.6903
170     15     3.69498      16.0627
179     0     3.93382      32.9839
179     1     3.7243      29.6113
179     2     3.97746      24.3264
179     3     3.76005      28.4348
179     4     3.89859      28.3517
179     5     3.66958      49.3607
179     6     3.90609      7.22077
179     7     3.70256      36.8532
179     8     3.99303      37.5308
179     9     3.77771      32.3279
179     10     3.94028      12.5558
179     11     3.72865      25.3111
179     12     3.94556      51.9121
179     13     3.75475      62.0093
179     14     3.93387      21.9059
179     15     3.71421      13.5174
