BoardID     ChannelID     Gain      Offset
164     0     0.562424      63.6366
164     1     0.573908      42.9741
164     2     0.554248      86.4229
164     3     0.561721      56.3465
164     4     0.573455      96.1784
164     5     0.567201      68.0684
164     6     0.575221      55.1439
164     7     0.570736      93.414
164     8     0.581455      35.8789
164     10     0.579698      53.0401
164     11     0.579213      42.7954
164     12     0.573487      41.7452
164     13     0.565077      72.9078
164     14     0.568019      76.6782
164     15     0.563892      40.6233
192     0     0.516084      763.337
192     1     0.528711      802.302
192     2     0.571228      80.9285
192     3     0.575858      76.5204
192     4     0.579266      65.506
192     5     0.556643      113.38
192     7     0.587671      246.206
