BoardID     ChannelID     Gain      Offset
187     0     0.950302      69.4228
187     1     0.956004      49.6807
187     2     0.922839      93.3192
187     3     0.939033      65.2976
187     4     0.957996      103.029
187     5     0.951836      87.6497
187     6     0.965593      57.9899
187     7     0.951912      98.8279
187     8     0.980182      45.9106
187     9     0.933636      97.8039
187     10     0.970446      60.4471
187     11     0.961625      52.8873
187     12     0.950486      58.6668
187     13     0.95386      68.1763
187     14     0.942964      80.7472
187     15     0.943636      51.1279
188     0     0.946287      88.6561
188     1     0.97586      57.71
188     2     0.96426      73.0056
188     3     0.957645      88.1598
188     4     0.969644      61.8435
188     5     0.940437      86.076
188     6     0.941143      54.9952
188     7     0.967577      66.7672
