board     channel       gain       offset
187        0          1.12547    68.60680  
187        1          1.09341    71.16466  
187        2          1.08652    74.61928  
187        3          1.13093    85.81976  
187        4          1.10877    85.28833  
187        5          1.13262    107.87304 
187        6          1.12386    84.44311  
187        7          1.11807    88.89555  
187        8          1.11350    94.40112  
187        9          1.10382    74.66796  
187        10         1.10521    77.35713  
187        11         1.10322    60.08618  
187        12         1.12813    80.59112  
187        13         1.09959    65.21950  
187        14         1.12355    60.84094  
187        15         1.12039    80.10460  
188        0          1.12031    79.38290  
188        1          1.10297    96.72179  
188        2          1.12234    85.20559  
188        3          1.11671    75.75195  
188        4          1.11053    60.51350  
188        5          1.12429    55.97423  
188        6          1.08007    97.65521  
188        7          1.08801    63.30657  
