Board   channel      gain    offset
169         0   3.86645   28.7247
169         1   3.67716   26.8709
169         2   3.85335   28.2129
169         3   3.66124   18.9058
169         4   3.85527   6.91368
169         5   3.62319   21.5377
169         6   3.84665   24.8474
169         7   3.63533   22.6218
169         8   3.80348   17.9374
169         9   3.60659   31.7231
169        10   3.79351   35.0479
169        11   3.60991    21.888
169        12   3.80635   15.3861
169        13   3.58894    22.565
169        14   3.80629   22.9997
169        15   3.60389   18.8413
170         0   3.78802   24.0048
170         1   3.55085   31.7157
170         2   3.78067   18.8869
170         3   3.56657   23.7998
170         4   3.78055    28.347
170         5    3.5387   30.9413
170         6   3.77277   19.6923
170         7   3.58209    25.075
170         8   3.81274   20.3306
170         9   3.60285   36.6473
170        10   3.75255   11.0621
170        11   3.50149   43.9011
170        12   3.75516    29.019
170        13   3.74671   74974.6
170        14   3.76584   22.9099
170        15   3.54675   25.1416
171         0   3.79956   63.6424
171         1   3.79053   75885.9
171         2   3.81549   20.8184
171         3   3.62697   17.9499
171         4   3.84776   9.92838
171         5   3.58208   33.4587
171         6   3.82202   26.5111
171         7   3.60156   29.0974
171         8     3.601   72050.6
171         9     3.601   72050.6
171        10     3.601   72050.6
171        11     3.601   72050.6
171        12   3.81192   18.1258
171        13    3.4045   26.2252
171        14   3.79853   13.9339
171        15   3.55564   30.6215
172         0   3.80267   6.40558
172         1   3.57073   33.5449
172         2    3.7836   14.5622
172         3   3.60323   15.5402
172         4   3.82027    21.357
172         5   3.59943   25.6108
172         6   3.73163      4.62
172         7   3.54098   18.4936
172         8   3.74975   20.2315
172         9   3.50171   32.3018
172        10    3.7566   18.8739
172        11   3.56742   12.9558
172        12   3.75927   21.6673
172        13   3.56635   18.6946
172        14   7.57545  -5995.68
172        15   3.52476   22.4683
173         0   3.85128   16.2669
173         1   3.62582   33.2027
173         2   3.82896    28.183
173         3   3.63697   19.1893
173         4   3.80066   21.0631
173         5    3.6001    24.865
173         6   3.76407   21.1029
173         7   3.55781   21.4711
173         8   3.81883    21.525
173         9   3.61813   24.4394
173        10   3.84227   24.9293
173        11   3.63379   26.0863
173        12   3.82815   23.1621
173        13   3.58981   16.3139
173        14    3.8164   20.7194
173        15   2.74284   2976.62
174         0   3.83766   30.6694
174         1   3.63961   25.0644
174         2   3.80561   22.6599
174         3   3.64506   13.7302
174         4   3.86244    21.847
174         5   3.64237   27.9813
174         6   3.81388   25.6242
174         7   3.58753   23.0356
174         8   3.85437   25.1137
174         9   3.63967   18.8711
174        10   3.85114   27.9817
174        11   3.65835   23.8224
174        12   3.83681    35.778
174        13   3.63166   30.6132
174        14   3.88153   16.1084
174        15   3.67882   12.2464
175         0   3.68284     73663
175         1   3.68284     73663
175         2   3.68284     73663
175         3   3.68284     73663
175         4   3.68284     73663
175         5   3.68284     73663
175         6   3.68284     73663
175         7   3.68284     73663
175         8   1.80372   3092.55
175         9   3.52779   187.092
175        10   3.52272   70649.2
175        11   3.10141   812.503
175        12   3.10134     62840
175        13 0.0321661   5754.03
175        14   49.8557  -65772.3
175        15    5.5878  -2653.38
177         0    3.6955    21.265
177         1    3.5316   21.9347
177         2   3.54197   70844.1
177         3   3.56508   16.8729
177         4   3.74484   21.2666
177         5   3.52642   23.7034
177         6   3.71706    25.318
177         7   3.53613   16.1517
177         8   3.81345    17.284
177         9   3.58365   13.0917
177        10   3.74009   14.0247
177        11   3.55651   14.9318
177        12   3.74173   14.8174
177        13   3.55214   24.8166
177        14   3.71973   14.2012
177        15   3.52747   18.2362
179         0   3.77293   24.4831
179         1   3.58478   44.2072
179         2   3.78917    20.415
179         3   3.57377   31.5521
179         4   3.75121   14.3597
179         5   3.54965   19.0093
179         6   3.73134   14.1374
179         7   3.53988   26.6635
179         8   3.76559   25.2896
179         9    3.5712   13.5361
179        10    3.7451   15.2387
179        11   3.53648   32.4591
179        12   3.79845   16.9232
179        13   3.56639   28.8295
179        14   3.73567    24.518
179        15   3.52517   20.9423
180         0    3.8023   23.7167
180         1   3.61988   15.0156
180         2   3.82411   14.0466
180         3    3.6254   18.5414
180         4   3.84314   20.2494
180         5   3.60774   30.4394
180         6   3.86639   15.8025
180         7   3.63276   21.3173
180         8   3.85231   19.9432
180         9   3.63627   32.0721
180        10   3.83355   18.0826
180        11   3.64629   19.5146
180        12   3.88768   19.0557
180        13    3.6369   17.8288
180        14   3.80081    23.289
180        15   3.60506   25.6299
181         0     3.601   72050.6
181         1   3.64203   19.0304
181         2   3.81469   8.19649
181         3    3.6253   20.7869
181         4   3.80069   17.1441
181         5   3.60496   20.9338
181         6   3.78285   18.8519
181         7    3.6036   27.0121
181         8   3.79204   30.0545
181         9   3.60472   22.6258
181        10   3.79835   36.8495
181        11   3.58761   26.9129
181        12     3.601   72025.4
181        13   3.56357   29.5784
181        14   3.78201   23.7068
181        15   1.90581   4080.18
