Board	channel	gain	offset
169	0		3.838	67.756
169	1		3.672	35.368
169	2		3.849	35.393
169	3		3.660	20.966
169	4		3.8499	15.504
169	5		3.619	28.828
169	6		3.841	33.681
169	7		3.626	36.926
169	8		3.798	25.925
169	9		3.604	36.051
169	10		3.796	32.867
169	11		3.607	27.451
169	12		3.805	17.387
169	13		3.582	33.581
169	14		3.805	25.717
169	15		3.600	25.182
170	0		3.781	34.413
170	1		3.547	38.679
170	2		3.779	21.303
170	3		3.562	32.013
170	4		3.776	35.567
170	5		3.540	29.132
170	6		3.770	24.834
170	7		3.580	29.527
170	8		3.807	29.249
170	9		3.596	48.029
170	10		3.753	10.635
170	11		3.501	45.706
170 	12		3.750	38.044
170	13		1	0
170	14		3.753	41.262
170	15		3.542	33.057
171	0		3.795	70.627
171	1		1	0
171	2		3.810	29.636
171	3		3.6208	28.100
171	4		3.846	14.149
171	5		3.578	39.627
171	6		3.816	36.247
171	7		3.602	29.236
171	8		1	0
171	9		1	0
171	10		1	0
171	11		1	0
171	12		3.800	35.983
171	13		3.396	41.392
171	14		3.790	27.164
171	15		3.551	39.172
172	0		3.796	16.099
172	1		3.563	45.584
172	2		3.773	30.130
172	3		3.597	26.138
172	4		3.8332	6.39625
172	5		3.595	33.653
172	6		3.723	18.462
172         9   3.50402   31.3618
172        10   3.77104   1.45437
172        11   3.57224   9.03502
172        13   3.57648   6.58518
172        15   3.52802   19.8742
173         0   3.86536 0.0213823
173         2   3.83206   27.0638
173         3    3.6536  -2.21684
173         4   3.81653   1.54073
173         6   3.77831   4.69769
173         7   3.56555   13.0236
173         8   3.83811  -2.17788
173         9   3.62006   24.5623
173        10   3.85323    13.339
173        11    3.6451   12.8205
174         2   3.83317   -12.296
174         3   3.66044  -5.63008
174         4    3.8787   2.76397
174         5   3.65131   17.9979
174         6   3.84185  -10.4055
174         7   3.60161   5.01035
174         8   3.87549 -0.816841
174        11   3.65715   28.1626
174        12   3.85812   9.38661
174        14   3.89749  -1.93369
177         0   3.69541   24.3686
177         1   3.53862   13.7487
177         4   3.74913    19.584
177         5   3.54303  0.968196
177         8   3.83249  -5.32202
177        11   3.56667   2.19326
177        12    3.7612  -10.6659
177        13   3.57495   -6.3789
177        14   3.72999   1.91362
179         0   3.79039   3.79675
179         3   3.57287   34.9138
179         4    3.7568   9.33295
179         5   3.54765   24.9391
179         6   3.74081   4.16045
179         7   3.54899   16.7448
179         9   3.43341   236.082
179        12   3.81973  -9.28398
179        13   3.56868   28.2244
180         0    3.8269  -6.94734
180         1   3.62149   15.5127
180         2   3.83527   2.20834
180         3   3.63398   8.70252
180         4   3.84457   21.5544
180         5 	3.603	  38.479
180         6   3.88306  -4.00778
180         7   3.63613   18.5127
180         8   3.86937 -0.195808
180         9   3.64442   23.7443
180        10   3.85414  -7.08222
180        11   3.64672    21.432
180        12   3.89424   14.1334
180        13  3.629	  30.264
180        14   3.81627   4.49911
180        15   3.61534   13.7255
181         1   3.64836   13.4738
181         2   3.82567   -2.9702
181         3   3.618	  33.476
181         4    3.8106   6.51496
181         5   3.597	  33.975
181         6   3.79682   2.71587
181         7   3.60604   26.6348
181         8   3.81543  0.624757
181         9   3.61377   12.0776
181        10    3.8043   31.4747
181        11  3.587	  28.251
181        13   3.57012    22.564
181        14   3.78884   17.4616
181        15   
